"","Engine.RPM.rpm.","Speed..OBD..km.h.","Speed..GPS..km.h.","Miles.Per.Gallon.Instant..mpg.","Intake.Air.Temperature..C.","Trip.average.MPG.mpg.","Trip.average.KPL.kpl.","Litres.Per.100.Kilometer.Instant..l.100km.","Acceleration.Sensor.Total..g.","Horsepower..At.the.wheels..hp.","Average.trip.speed.whilst.moving.only..km.h.","Trip.Time.Since.journey.start..s.","Distance.to.empty..Estimated..km.","Fuel.Remaining..Calculated.from.vehicle.profile....","Fuel.used..trip..l.","Average.trip.speed.whilst.stopped.or.moving..km.h.","Miles.Per.Gallon.Long.Term.Average..mpg.","Kilometers.Per.Litre.Long.Term.Average..kpl.","Litres.Per.100.Kilometer.Long.Term.Average..l.100km."
"546",804.5,25,"26.09999847",74.75644684,41,"25.08486366","8.88004208","3.77867079",-0.02240633,NA,"15.03899765",405,NA,NA,"0.2344391","12.38390827",25.72978973,9.10834503,10.97871399
"547",854.75,24,"25.19999886",76.42905426,41,"25.20316887","8.92192173","3.6959765",0.02039007,NA,"15.09141254",406,NA,NA,"0.23463726","12.43935966",25.80778885,9.13595676,10.9455328
"548",1611,24,"23.68799973",69.0584259,41,"25.3039856","8.95761108","4.09044933",-0.01645003,NA,"15.11602211",407,NA,NA,"0.23491377","12.46575356",25.87422562,9.15947533,10.91742802
"549",1575.75,23,"23.65200043",50.88945007,41,"25.36266708","8.97838402","5.55085611",-0.04776796,NA,"15.13774109",409,NA,NA,"0.23525533","12.48974895",25.91259193,9.17305756,10.90126324
"550",1493,22,"22.31999779",44.87403107,41,"25.40731621","8.99419022","6.29495478",-0.01685148,NA,"15.15659332",409,NA,NA,"0.23555295","12.51136398",25.94162941,9.18333721,10.88906193
"551",1436.75,21,"21.92399979",47.30086136,41,"25.47575188","9.0184164","5.97198439",0.02031088,NA,"15.17260265",411,NA,NA,"0.23635694","12.53061199",25.98586655,9.19899654,10.87052441
"552",1368.25,21,"20.05200005",31.06533623,41,"25.48845482","9.02291298","9.09309292",0.09709323,NA,"15.18852425",412,NA,NA,"0.23678128","12.54977417",25.99360847,9.2017374,10.86728668
"553",1416.75,20,"20.26799965",30.99210548,41,"25.5009346","9.02733135","9.1145792",-0.0146662,NA,"15.20163441",412,NA,NA,"0.23725221","12.56659126",26.00121689,9.20443058,10.86410713
"554",1414.75,21,"21.13199997",41.29555511,40,"25.53666878","9.03998089","6.840446",-0.09048104,NA,"15.21739101",413,NA,NA,"0.23763727","12.58558559",26.02445984,9.21265888,10.8544035
"555",1382,20,"20.84399986",53.51685333,40,"25.59983063","9.06233978","5.278337",-0.04295699,NA,"15.24594593",415,NA,NA,"0.23787127","12.62107658",26.06617928,9.22742748,10.83703136
"556",725.75,19,"19.47599983",30.58608246,40,"25.6110611","9.06631565","9.23557281",0.02317735,NA,"15.25606441",415,NA,NA,"0.2383464","12.63534641",26.07302666,9.22985172,10.83418465
"557",1016.75,-1,"19.15200043",72.93630981,40,"25.71740913","9.1039629","3.8729682",-0.04325801,NA,"15.25606441",417,NA,NA,"0.23853262","12.60491085",26.14392471,9.25494957,10.8048048
"558",1145,16,"16.99199867",0,40,"25.71466446","9.1029911",NA,-0.03036028,NA,"15.25806427",417,NA,NA,"0.23874679","12.61247253",26.14204407,9.25428391,10.80558205
"559",1133.5,16,"16.63199997",34.60655212,40,"25.72490692","9.10661697","8.16261578",-0.03464343,"23.3015213","15.26005363",419,NA,NA,"0.23962937","12.61999989",26.14766884,9.25627422,10.80325794
"560",1161.5,-1,"16.52400017",0,40,"25.72217941","9.1056509",NA,-0.09836381,"23.3015213","15.26005363",419,NA,NA,"0.2399006","12.58980083",26.14579582,9.25561142,10.80403137
"561",1135.5,16,"14.07600021",19.18880844,40,"25.70766068","9.10051155","14.72108078",0.00471221,"23.3015213","15.26203251",420,NA,NA,"0.24049075","12.59734535",26.13534927,9.25191402,10.80834961
"562",1135.5,-1,"14.03999996",0,40,"25.70494652","9.0995512",NA,-0.02390406,"23.3015213","15.26203251",421,NA,NA,"0.24151939","12.56732845",26.13348389,9.25125313,10.80912113
"563",1357.75,20,"18.43199921",22.33407211,40,"25.69748878","9.09691048","12.64793968",0.03025283,"3.87481022","15.28457451",423,NA,NA,"0.24200803","12.59780216",26.12779617,9.24923992,10.8114748
"564",1433.75,21,"19.07999992",23.75890923,40,"25.69320869","9.09539604","11.88943481",0.02333367,"3.64327216","15.29973507",423,NA,NA,"0.2426309","12.6162281",26.12425613,9.24798679,10.81293964
"565",1513.75,22,"21.09600067",23.01871872,40,"25.6873188","9.09331036","12.2717514",0.08145359,"3.64327216","15.31746006",425,NA,NA,"0.24327876","12.63676167",26.11961937,9.24634552,10.81485844
"566",1571.75,23,"22.6079998",24.07502365,40,"25.68377495","9.09205627","11.73332214",0.08391626,"4.07816648","15.33773041",425,NA,NA,"0.2438115","12.65938854",26.11657333,9.24526691,10.81612015
"567",1654.5,24,"24.22799873",23.60264587,40,"25.67921066","9.09044075","11.96815014",0.11251233,"4.07816648","15.36052608",426,NA,NA,"0.24452721","12.68409634",26.11283302,9.24394226,10.81766987
"568",1009.25,25,"24.73199844",45.71941757,40,"25.78108788","9.12650585","6.17855644",0.05422259,"3.82427192","15.38582706",428,NA,NA,"0.245178","12.71086979",26.18077469,9.26799393,10.78959656
"569",878,24,"23.79599953",53.98195648,40,"25.8425293","9.14825535","5.23285961",-0.11337459,"3.82427192","15.40837669",428,NA,NA,"0.24548744","12.73535824",26.22196198,9.28257465,10.77264977
"570",753.5,18,"20.51999855",61.43106842,40,"25.91989517","9.17564297","4.59832478",-0.00349907,"3.82427192","15.43229198",430,NA,NA,"0.24574034","12.76673889",26.27404594,9.30101204,10.75129414
"571",798.5,15,"16.19999886",58.56648254,40,"25.99071121","9.2007122","4.82323647",0.01702446,NA,"15.43116856",430,NA,NA,"0.24591976","12.77155209",26.32174492,9.3178978,10.73181152
"572",786.5,13,"13.10400009",46.05494308,40,"26.03414154","9.21608543","6.13354397",0.11150644,NA,"15.42487049",431,NA,NA,"0.24616869","12.77204323",26.35084915,9.32820129,10.71995735
"573",802.75,11,"10.83599949",32.30270767,40,"26.07551765","9.23073387","8.74477768",0.07167152,NA,"15.41343689",433,NA,NA,"0.24660668","12.76823997",26.37815285,9.33786583,10.7088623
"574",793.25,10,"8.85599995",30.90649986,40,"26.08590698","9.23441124","9.13982487",-0.01639339,NA,"15.39948463",433,NA,NA,"0.24684863","12.76231289",26.38480186,9.3402195,10.70616341
"575",1173.5,10,"8.56799984",37.65987778,40,"26.11074448","9.24320316","7.50082111",0.05377906,NA,"15.3856039",435,NA,NA,"0.24704219","12.7564106",26.40133476,9.3460722,10.69945908
"576",1269.5,10,"8.56799984",17.40987206,40,"26.09211349","9.23660755","16.22527885",0.0806598,NA,"15.35549831",436,NA,NA,"0.24734521","12.74255276",26.38817024,9.34141254,10.70479679
"577",1685,13,"10.47599983",12.70526123,40,"26.06350899","9.22648239","22.23330879",-0.20983088,NA,"15.34949017",436,NA,NA,"0.24792822","12.74310017",26.36816597,9.33433056,10.71291828
"578",2088.5,-1,"15.26399899",13.51062107,40,"26.03674316","9.21700764","20.90799522",0.00080783,NA,"15.34949017",437,NA,NA,"0.24865982","12.71398258",26.34939575,9.32768631,10.72054958
"579",2371,19,"18.2159996",0,40,"26.0341053","9.21607304",NA,0.09766993,NA,"15.35877895",439,NA,NA,"0.24933657","12.72727299",26.3475666,9.32703876,10.72129345
"580",2617.75,22,"20.44799805",16.37196159,40,"26.01359177","9.20881176","17.25388908",-0.07645923,"43.24538422","15.37563419",439,NA,NA,"0.25018346","12.74683571",26.33304596,9.32189846,10.72720528
"581",2753.25,23,"21.85199928",18.28622437,40,"25.97980881","9.19685268","15.44769382",0.07707538,"43.24538422","15.39493656",441,NA,NA,"0.25195283","12.76842117",26.30892754,9.31336021,10.73703957
"582",2927.25,24,"23.72399902",17.94705963,40,"25.96286201","9.19085312","15.73962593",0.06351631,"3.72639036","15.41666698",442,NA,NA,"0.25298849","12.79201698",26.29680824,9.30907059,10.74198818
"583",3117,26,"25.52400017",17.04179001,40,"25.94408226","9.18420506","16.57572365",0.27084073,"3.72639036","15.44332504",442,NA,NA,"0.25408986","12.81970692",26.28341484,9.30432892,10.74746227
"584",3267.75,27,"26.7840004",16.98346901,40,"25.92525673","9.17754078","16.63264465",0.122163,"6.34610367","15.50125313",444,NA,NA,"0.25500673","12.87891483",26.26997566,9.29957104,10.75296021
"585",3249.5,26,"27",20.25698662,40,"25.91337395","9.17333412","13.9448185",-0.20749226,"6.34610367","15.52750015",444,NA,NA,"0.25595847","12.90625",26.26129913,9.29650021,10.75651264
"586",3322.75,27,"26.24399948",17.51453781,40,"25.89580345","9.16711426","16.12831688",0.19904122,"6.34610367","15.55610943",445,NA,NA,"0.25700566","12.93555069",26.24869537,9.29203796,10.76167774
"587",3369.25,28,"26.71199989",18.44600105,40,"25.88025093","9.1616087","15.3138876",0.03330934,"4.50436401","15.58706474",446,NA,NA,"0.25801522","12.9668045",26.23746872,9.288064,10.76628208
"588",3451.25,28,"27.89999962",18.19142342,40,"25.86423111","9.15593815","15.52819729",0.09294219,"4.50436401","15.61786556",448,NA,NA,"0.2591469","12.99792957",26.22590828,9.28397179,10.77102852
"589",3519.25,29,"28.29599953",45.91505432,40,"25.8890152","9.164711","6.15223074",-0.11334549,"2.28069878","15.65099049",448,NA,NA,"0.26063302","13.03099155",26.24198723,9.28966331,10.76442909
"590",3308.25,28,"28.36800003",25.93758965,40,"25.88911629","9.16474724","10.89075756",-0.09721246,"2.28069878","15.68148136",449,NA,NA,"0.26142672","13.06185532",26.24155045,9.28950882,10.76460743
"591",2036.75,27,"26.53199959",36.81409836,39,"25.91168785","9.17273808","7.6731472",0.0159937,"2.28069878","15.70935917",450,NA,NA,"0.26198664","13.09053516",26.25665474,9.29485607,10.75841522
"592",917.75,19,"25.19999886",60.08654404,39,"25.98215103","9.19768143","4.70121908",0.09673306,NA,"15.7328434",452,NA,NA,"0.26222166","13.12090206",26.30491447,9.31193924,10.73867798
"593",772.5,13,"17.85599899",50.59411621,39,"26.03279305","9.2156086","5.58325768",-0.04279555,NA,"15.726161",452,NA,NA,"0.26249778","13.12065411",26.33951378,9.32418823,10.72457123
"594",812.5,7,"9.68400002",41.12592697,39,"26.06378555","9.22658062","6.86865997",0.11128594,NA,"15.70487785",453,NA,NA,"0.26272225","13.10816288",26.36054802,9.33163357,10.71601391
"595",839,4,"3.41999984",21.05452728,39,"26.0535202","9.22294617","13.41659164",0.00653935,NA,"15.67639923",455,NA,NA,"0.26292261","13.08961296",26.35301018,9.32896519,10.71907902
"596",2370.25,3,"3.5999999",6.19742107,39,"26.01291466","9.20857239","45.58024979",-0.00812689,NA,"15.64563084",455,NA,NA,"0.2633855","13.0691061",26.32442093,9.3188448,10.73072052
"597",1451.5,6,"6.76799965",1.64528096,39,"25.96318626","9.19096756","171.69104004",0.0680045,"0.85172069","15.62227631",456,NA,NA,"0.26499939","13.05476665",26.28946495,9.30647087,10.74498844
"598",1219,10,"8.42399979",6.68260622,39,"25.87950516","9.16134548","42.27093506",0.06027464,"0.85172069","15.60869598",458,NA,NA,"0.26693267","13.04858303",26.23039246,9.2855587,10.76918697
"599",3263.75,15,"13.24800014",3.84646988,39,"25.83481407","9.14552402","73.43876648",-0.20903732,"11.88849449","15.60722923",458,NA,NA,"0.26964992","13.05252552",26.19882202,9.27438259,10.78216457
"600",1402.25,21,"14.39999962",22.28026962,39,"25.82761955","9.14297676","12.67848206",0.01014556,"11.14334393","15.62829781",460,NA,NA,"0.27014107","13.08048248",26.19330215,9.27242947,10.78443623
"601",1105.5,20,"18.03600121",48.15607452,39,"25.87272644","9.15894508","5.86592674",-0.1131117,"11.14334393","15.6387558",460,NA,NA,"0.27045006","13.09437752",26.22419167,9.2833643,10.77173328
"602",978.75,16,"19.04399872",42.51172638,39,"25.90627289","9.17082024","6.64475489",0.22424275,"11.14334393","15.63961792",461,NA,NA,"0.27083325","13.10020065",26.24706841,9.29146194,10.76234531
"603",787.25,13,"17.60399818",41.6147995,39,"25.93787956","9.1820097","6.78797007",-0.00435659,"11.14334393","15.63333321",462,NA,NA,"0.27108034","13.10000038",26.26862144,9.29909229,10.75351429
"604",810.75,12,"13.5",40.35538483,39,"25.96683121","9.19225788","6.99980927",-0.06391755,NA,"15.62470341",464,NA,NA,"0.2713134","13.09780407",26.28835106,9.30607605,10.7454443
"605",801.5,12,"11.69999981",36.58883286,39,"26.00848389","9.20700359","7.72038889",-0.05878484,NA,"15.61611366",464,NA,NA,"0.27173993","13.09561729",26.31653976,9.3160553,10.73393345
"606",802.25,11,"10.58399963",33.61315155,39,"26.02366257","9.21237659","8.40385342",-0.10686115,NA,"15.60520077",466,NA,NA,"0.27197617","13.09145164",26.32671738,9.31965733,10.72978497
"607",799.75,8,"6.94799948",24.36975098,39,"26.02036858","9.21121025","11.59141922",-0.06675921,NA,"15.58726406",467,NA,NA,"0.27222785","13.08134937",26.32399178,9.31869316,10.73089504
"608",814.5,5,"6.40799952",18.33444786,39,"26.00508881","9.20580101","15.40706348",0.00761913,NA,"15.5399065",468,NA,NA,"0.27242506","13.05138302",26.31287956,9.31475925,10.7354269
"609",771,5,"4.75199986",15.62710381,39,"25.98449707","9.19851208","18.07628632",0.01392921,NA,"15.51522255",468,NA,NA,"0.27265629","13.03550339",26.29803848,9.30950546,10.7414856
"610",660.25,5,"4.86000013",10.70840359,39,"25.95424652","9.18780327","26.379282",0.0192465,NA,"15.49065399",470,NA,NA,"0.27300286","13.01968479",26.27641487,9.30185127,10.75032425
"611",899.5,6,"6.29999971",9.25342274,39,"25.92124176","9.1761198","30.52708244",-0.15027091,"0.52203059","15.46853161",470,NA,NA,"0.27330729","13.00589371",26.25283813,9.29350471,10.75997925
"612",1407.75,8,"6.9119997",18.52414703,39,"25.90665054","9.1709547","15.24928474",0.03095224,"0.52203059","15.45116234",471,NA,NA,"0.2735391","12.99607849",26.24214745,9.28972054,10.76436234
"613",765.5,9,"9.2159996",29.9293232,39,"25.8920784","9.16579628","9.43823528",0.03802577,"1.97941005","15.43619442",472,NA,NA,"0.27417052","12.98825836",26.23099136,9.28577137,10.76894093
"614",824,8,"7.30799961",22.57865524,39,"25.88558197","9.16349602","12.51093102",0.00320209,"1.97941005","15.41898155",473,NA,NA,"0.27442101","12.97851562",26.22596169,9.28398991,10.77100658
"615",848.5,4,"4.53599977",17.79487228,39,"25.86974907","9.15789127","15.87423611",-0.03007009,"1.97941005","15.37096786",475,NA,NA,"0.2746602","12.94747066",26.2143631,9.27988529,10.77577209
"616",786.5,3,"4.35599995",12.5225029,39,"25.84367943","9.14866257","22.55779076",0.01385557,NA,"15.34252834",475,NA,NA,"0.27484941","12.92815495",26.19555664,9.27322674,10.7835083
"617",658.75,5,"5.11199951",7.76805162,39,"25.80844498","9.13618946","36.36433029",-0.03738139,"1.42441988","15.3188076",476,NA,NA,"0.27517974","12.9127903",26.17027855,9.26427841,10.79392433
"618",794,6,"6.11999989",18.54898643,39,"25.79432106","9.13118935","15.22886372",0.00097927,"1.42441988","15.29748249",478,NA,NA,"0.27537262","12.89941978",26.15983772,9.26058292,10.79823208
"619",1535.75,7,"7.12799978",13.19087315,39,"25.76984787","9.12252617","21.41480827",0.13557169,"1.20218658","15.2785387",478,NA,NA,"0.27565032","12.88803101",26.14209747,9.25430202,10.80556011
"620",1478.25,12,"11.48400021",5.56952715,39,"25.73070145","9.10866833","50.71884537",0.08540807,"1.20218658","15.27107048",479,NA,NA,"0.27656156","12.88632011",26.11399269,9.24435329,10.81718922
"621",2095.5,15,"15.15600014",13.1782589,39,"25.68134499","9.09119606","21.43530464",-0.07017238,"9.39147568","15.27045441",481,NA,NA,"0.27789682","12.89038467",26.07811737,9.23165321,10.83207035
"622",2095.5,-1,"16.52400017",0,39,"25.67898941","9.0903616",NA,0.01949633,"9.39147568","15.27045441",481,NA,NA,"0.27846897","12.86372375",26.07642746,9.23105526,10.83277225
"623",1304.25,19,"19.33199883",26.10341263,39,"25.67980576","9.09065056","10.82157326",0.15555105,"6.09951544","15.27891159",483,NA,NA,"0.27900586","12.87547874",26.0764637,9.23106861,10.832757
"624",817,14,"16.27199936",0,39,"25.67745781","9.08981991",NA,-0.12871894,"6.09951544","15.27601814",483,NA,NA,"0.27934235","12.85114479",26.07477951,9.23047161,10.83345699
"625",813.25,9,"11.4119997",43.62199783,39,"25.71183395","9.10198975","6.47563171",0.07403833,"6.09951544","15.26185131",485,NA,NA,"0.27957553","12.84380913",26.09855652,9.23888874,10.82358742
"626",831.25,7,"7.55999947",27.04514122,39,"25.71438408","9.10289192","10.44475937",-0.13280554,NA,"15.24324322",485,NA,NA,"0.27982125","12.83269978",26.09983635,9.23934174,10.82305622
"627",997,7,"7.55999947",12.86225796,39,"25.68985748","9.09420967","21.96192932",0.27276787,NA,"15.22471905",487,NA,NA,"0.28017056","12.82163143",26.08194733,9.23300934,10.83047962
"628",1467.75,11,"10.90799999",7.39580965,39,"25.65501022","9.08187389","38.19460297",0.10119097,"3.64020252","15.2152462",487,NA,NA,"0.2808724","12.81818199",26.05673027,9.22408295,10.84096146
"629",2136,15,"14.68799973",11.80932236,39,"25.59854317","9.06188393","23.92008591",-0.03987757,"3.64020252","15.21476555",488,NA,NA,"0.2823824","12.82230663",26.01559639,9.20952129,10.85810184
"630",2396,20,"15.9119997",14.71004677,39,"25.57792091","9.05458355","19.2032032",-0.02989566,"11.29504776","15.23162556",490,NA,NA,"0.28323215","12.84557438",26.00040245,9.20414257,10.86444759
"631",1798.75,19,"19.11599922",29.9988842,39,"25.58627892","9.0575428","9.41635036",-0.02881272,"1.523193","15.23999977",490,NA,NA,"0.28370768","12.85714245",26.00576782,9.20604229,10.86220551
"632",822.75,16,"17.56800079",30.73083305,39,"25.59598541","9.06097889","9.19207096",-0.11547802,"1.523193","15.24168491",491,NA,NA,"0.2841084","12.86303902",26.01210213,9.20828438,10.85956001
"633",893,11,"12.20400047",47.52508545,39,"25.63728333","9.07559776","5.94380808",0.09952917,"1.523193","15.23230076",493,NA,NA,"0.28435117","12.85955048",26.04090118,9.21847916,10.84755039
"634",788.5,9,"10.18799973",29.05630493,39,"25.65207672","9.08083534","9.72181416",0.02986499,"1.523193","15.21854305",493,NA,NA,"0.28478876","12.85233688",26.0503521,9.22182465,10.84361553
"635",810.5,8,"7.16400003",24.12169266,39,"25.64920998","9.07982063","11.71062088",0.14736629,NA,"15.20264339",494,NA,NA,"0.28502843","12.84328365",26.04777908,9.22091389,10.84468651
"636",1111.5,6,"5.97599983",11.03408432,39,"25.62189293","9.07014942","25.60067368",0.014653,NA,"15.18241787",496,NA,NA,"0.28541926","12.8305397",26.02778816,9.21383667,10.8530159
"637",955.5,7,"6.94799948",13.74172878,39,"25.59972763","9.06230354","20.55636597",-0.11989275,NA,"15.14223194",497,NA,NA,"0.28565937","12.80519485",26.01144981,9.20805359,10.85983276
"638",989.25,7,"7.55999947",18.64948845,39,"25.58678436","9.05772209","15.14679623",0.15822117,"1.11987245","15.1244545",497,NA,NA,"0.2859433","12.79444408",26.00167274,9.2045927,10.8639164
"639",1001.25,8,"5.47199965",12.35192871,39,"25.56218529","9.04901314","22.86930275",-0.18778966,"1.11987245","15.1089325",499,NA,NA,"0.28634706","12.78558254",25.9835701,9.19818401,10.87148476
"640",1150,9,"8.85599995",11.62275219,39,"25.53632355","9.03985882","24.30405235",-0.01015994,"1.54750288","15.09565258",500,NA,NA,"0.28675428","12.77859783",25.96455002,9.19145012,10.87944889
"641",1471.5,11,"11.73600006",9.96125984,39,"25.50748062","9.02964783","28.35785866",0.07419275,"1.54750288","15.08676815",500,NA,NA,"0.28738454","12.77532196",25.94338036,9.1839571,10.88832664
"642",1774.5,14,"12.77999973",0,39,"25.47868347","9.019454",NA,-0.01956112,"5.21896315","15.08441544",502,NA,NA,"0.28818202","12.77757359",25.92219543,9.17645741,10.89722443
"643",1614.5,14,"13.46399975",33.11165237,39,"25.49274063","9.02443027","8.53113651",0.07971014,"5.21896315","15.08207321",502,NA,NA,"0.28848824","12.77981663",25.93166924,9.17981052,10.89324474
"644",806,12,"10.29599953",18.36084938,39,"25.47962952","9.01978874","15.38490963",0.07349624,"5.21896315","15.07543087",504,NA,NA,"0.2889708","12.77838802",25.92170715,9.17628384,10.89743042
"645",783.5,6,"9",22.10866928,39,"25.47344398","9.01759911","12.77688885",0.05676363,NA,"15.03862667",504,NA,NA,"0.28916037","12.75547409",25.91669655,9.17451096,10.89953709
"646",725.25,6,"6.33599997",17.32843399,39,"25.45852661","9.01231861","16.30153084",-0.00286749,NA,"15.01927185",505,NA,NA,"0.28940868","12.74316978",25.90542603,9.17052078,10.90427971
"647",878.25,6,"3.88800001",11.23212242,39,"25.43251991","9.00311184","25.14929771",0.05329622,NA,"15",506,NA,NA,"0.28979936","12.73090935",25.88619423,9.1637125,10.91238022
"648",2751.75,8,"7.52399969",10.18028831,39,"25.40468597","8.99325943","27.7477417",0.00431206,NA,"14.985075",508,NA,NA,"0.2901707","12.72232342",25.86563683,9.15643597,10.92105293
"649",12031.75,8,"8.09999943",7.10479975,39,"25.37135315","8.98145962","39.75903702",0.10890685,"1.38459718","14.97021294",508,NA,NA,"0.29098356","12.71376801",25.84111404,9.14775372,10.93141747
"650",1203.25,9,"7.01999998",20.22014427,39,"25.3179512","8.96255493","13.97022724",0.01776869,"1.38459718","14.9575367",510,NA,NA,"0.29651961","12.70705223",25.80152512,9.13373947,10.94818974
"651",1203.25,10,"9.17999935",18.80577278,39,"25.30615425","8.95837879","15.02091885",0.06883003,"1.72251487","14.94703388",510,NA,NA,"0.29690975","12.7021656",25.79241562,9.1305151,10.95205688
"652",1280.75,10,"10.65600014",25.10688591,39,"25.30579376","8.958251","11.25109673",0.09514044,"1.72251487","14.93657494",511,NA,NA,"0.29727384","12.6972971",25.79152489,9.13019943,10.95243549
"653",907.25,9,"10.36800003",24.95372391,39,"25.30515862","8.95802593","11.32015419",-0.04651901,"1.72251487","14.92405033",512,NA,NA,"0.29749006","12.69064713",25.79043579,9.12981415,10.95289707
"654",809.5,8,"8.45999908",25.25312424,39,"25.30506516","8.95799255","11.18594265",0.10030417,NA,"14.89705849",514,NA,NA,"0.29774901","12.67562771",25.78973961,9.1295681,10.95319366
"655",800.75,8,"8.42399979",25.15780258,39,"25.30480003","8.95789909","11.22832489",0.15812966,NA,"14.88259983",514,NA,NA,"0.29797733","12.66726303",25.78892136,9.12927818,10.9535408
"656",804.75,7,"6.94799948",25.43270874,39,"25.30502892","8.95798016","11.10695648",0.01883144,NA,"14.86610889",516,NA,NA,"0.29816195","12.65714264",25.78845978,9.1291151,10.95373631
"657",794,6,"5.43599987",21.25728798,39,"25.29777527","8.95541191","13.28861809",0.00219516,NA,"14.84759903",516,NA,NA,"0.29840562","12.64527607",25.78260612,9.12704277,10.95622349
"658",804.5,4,"4.89599991",11.68345833,39,"25.26126671","8.94248867","24.17777252",0.00554073,NA,"14.82499981",518,NA,NA,"0.29886863","12.6298933",25.7550106,9.11727333,10.96796322
"659",704.75,3,"4.5",8.66913414,39,"25.23168945","8.93201828","32.58456802",0.11574165,NA,"14.80041599",518,NA,NA,"0.29911602","12.6127882",25.73302078,9.10948944,10.97733593
"660",736,0,"3.852",0,39,"25.22955322","8.93126202",NA,0.14558142,NA,"14.80041599",520,NA,NA,"0.29934251","12.59042549",25.73144531,9.10893154,10.97800732
"661",761.25,0,"1.54799998",0,39,"25.2274189","8.93050575",NA,-0.13194413,NA,"14.80041599",520,NA,NA,"0.29953837","12.54593658",25.72987175,9.1083746,10.9786787
"662",523,0,"1.33200002",0,39,"25.22528839","8.92975235",NA,0.41093591,NA,"14.80041599",522,NA,NA,"0.29987437","12.52380943",25.728302,9.1078186,10.97934914
"663",452.25,0,"0.93599993",0,39,"25.2231617","8.9289999",NA,-0.08816765,NA,"14.80041599",522,NA,NA,"0.30026752","12.50176048",25.72673225,9.10726357,10.98001862
"664",794.5,0,"3.13199997",0,39,"25.22104073","8.92824841",NA,-0.0718788,NA,"14.80041599",524,NA,NA,"0.30041286","12.47978878",25.72516632,9.10670853,10.98068714
"665",273.75,0,"3.09599996",0,39,"25.21892166","8.92749882",NA,0.02112471,NA,"14.80041599",524,NA,NA,"0.30086794","12.45789433",25.72360229,9.1061554,10.98135471
"666",0,0,"1.11599994",0,39,"25.21469688","8.9260025",NA,0.02996397,NA,"14.80041599",526,NA,NA,"0.30110869","12.43607712",25.72047806,9.10504913,10.98268795
"667",0,0,"1.25999999",0,39,"25.21469688","8.9260025",NA,-0.01423885,NA,"14.80041599",526,NA,NA,"0.30110869","12.41433525",25.72047806,9.10504913,10.98268795
"668",1221.25,0,"0.93599993",0,39,"25.21048927","8.92451286",NA,-0.05340913,NA,"14.80041599",528,NA,NA,"0.30134133","12.39267063",25.71736526,9.10394669,10.98401833
"669",400.25,0,"0.82800001",0,39,"25.20838928","8.92376995",NA,-0.14431787,NA,"14.80041599",528,NA,NA,"0.3016538","12.3710804",25.71581078,9.10339642,10.98468208
"670",897,0,"2.1960001",0,39,"25.20629501","8.92302799",NA,0.00203546,NA,"14.80041599",530,NA,NA,"0.30190909","12.328125",25.71425819,9.1028471,10.98534489
"671",891.75,0,"1.54799998",0,39,"25.20420456","8.92228794",NA,-0.04381982,NA,"14.80041599",530,NA,NA,"0.30224347","12.30675888",25.71270752,9.10229874,10.98600769
"672",845.75,0,"1.18799996",0,39,"25.20211601","8.92154884",NA,-0.0051185,NA,"14.80041599",532,NA,NA,"0.30249599","12.28546715",25.71116066,9.10175037,10.98666859
"673",772.25,0,"0",0,40,"25.20003319","8.92081165",NA,0.0055528,NA,"14.80041599",533,NA,NA,"0.30281353","12.26424885",25.7096138,9.10120392,10.98732948
"674",773.75,0,"0",0,40,"25.19587708","8.91934013",NA,-0.00350743,NA,"14.80041599",534,NA,NA,"0.30330566","12.24310303",25.70652962,9.10011101,10.98864841
"675",778.25,0,"0",0,40,"25.19380569","8.91860676",NA,0.18171307,NA,"14.80041599",535,NA,NA,"0.30358103","12.22203064",25.70498848,9.09956646,10.98930645
"676",771.5,0,"0",0,40,"25.19173622","8.91787434",NA,0.76844853,NA,"14.80041599",535,NA,NA,"0.30385956","12.20103073",25.70345116,9.09902191,10.98996353
"677",694.75,0,"0",0,40,"25.18967247","8.91714382",NA,0.12359199,NA,"14.80041599",537,NA,NA,"0.30410531","12.1801033",25.70191574,9.09847832,10.99062061
"678",653.5,0,"0",0,40,"25.18761063","8.91641426",NA,0.01509343,NA,"14.80041599",537,NA,NA,"0.30440807","12.15924644",25.70038223,9.09793568,10.99127674
"679",796.5,0,"0",0,40,"25.1855526","8.91568565",NA,-0.00729801,NA,"14.80041599",539,NA,NA,"0.30463722","12.11774731",25.69885063,9.09739304,10.99193192
"680",733.75,0,"0",0,40,"25.18350029","8.91495895",NA,-0.01218976,NA,"14.80041599",539,NA,NA,"0.30485842","12.09710407",25.69732094,9.09685135,10.99258614
"681",616.75,0,"0",0,40,"25.18144989","8.91423321",NA,-0.00500216,NA,"14.80041599",540,NA,NA,"0.30513707","12.07653046",25.69579315,9.09631062,10.9932394
"682",777,0,"0",0,40,"25.17940331","8.91350842",NA,0.0162334,NA,"14.80041599",541,NA,NA,"0.30540767","12.05602741",25.69426727,9.09577084,10.99389172
"683",690.5,0,"0",0,40,"25.17532158","8.9120636",NA,-0.016747,NA,"14.80041599",543,NA,NA,"0.30592307","12.03559303",25.69122124,9.09469223,10.99519539
"684",672.75,0,"0",0,40,"25.17328644","8.91134357",NA,0.01517322,NA,"14.80041599",543,NA,NA,"0.30618021","12.01522827",25.68970108,9.09415436,10.99584579
